 INFO [main] 2021-02-25 10:53:54,785 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 10:53:54,785 (Tokenizer.java:71): ==========================================
 INFO [main] 2021-02-25 10:53:54,789 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 10:53:54,789 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 10:53:54,790 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 10:53:54,790 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 10:53:54,800 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 10:53:54,800 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 10:53:54,800 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 10:53:54,808 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:53:54,809 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:53:54,809 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:53:54,812 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:53:54,813 (SagaShell.java:189): total time cost: 0h 0m 0s
 INFO [main] 2021-02-25 14:14:49,530 (SagaShell.java:119): process argument 'dataset=C:/Users/86189/Desktop/jira/code-wisdom-jira'
 INFO [main] 2021-02-25 14:14:49,576 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 14:14:49,576 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 14:14:49,577 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 14:14:49,581 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 14:14:49,581 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 14:14:49,592 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 14:14:49,597 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 14:14:49,597 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 14:14:49,615 (Tokenizer.java:69): ==========================================
 INFO [main] 2021-02-25 14:14:49,615 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 14:14:49,620 (Tokenizer.java:71): ==========================================
 INFO [main] 2021-02-25 14:14:49,625 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 14:14:49,626 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 14:14:49,626 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 14:14:49,627 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 14:14:49,646 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 14:14:49,647 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 14:14:49,647 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 14:14:49,665 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 14:14:49,665 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 14:14:49,665 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 14:14:49,670 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 14:14:49,670 (SagaShell.java:189): total time cost: 0h 0m 0s
 INFO [main] 2021-02-25 14:16:51,284 (SagaShell.java:119): process argument 'dataset=C:/Users/86189/Desktop/jira/code-wisdom-jira'
 INFO [main] 2021-02-25 14:16:51,325 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 14:16:51,325 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 14:16:51,326 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 14:16:51,328 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 14:16:51,328 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 14:16:51,334 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 14:16:51,336 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 14:16:51,336 (SagaShell.java:82): loading state...
